Locality,"Pandras, Drass",,,
Date,02.08.2022,,,
Habitat,Scrub steppe/Betula patch,,,
Elevation,3319,,,
Latitude,34.4044,,,
Longitude,75.6403,,,
Species,#individuals,%Cover,FID,246_25_H1
Betula utilis jacquemontii,2,6,377,
Erysimum melicentae,10,2,370,
Gentiana tianschanica,6,4,371,
Rosa webbiana,12,10,375,
Piptatherum gracile,30,5,376,
Ephedra gerardiana,10,5,,
Thymus serpyllum,20,5,,
Cotoneaster affinis,8,5,,
Astragalus tibetanus,5,1,,
Epilobium angustifolium,7,2,,
Euphorbia thomsoniana,15,4,,
Lindelofia anchusoides,4,1,,
Rubus saxatilis,13,5,,
Rosularia alpestris,5,1,,
Androsace aizoon,11,3,,
Galium boreale,15,3,,
Galium verum,20,5,,
Berberis orthobotrys,7,5,,
